IMUDataRawSeq,IMUDataRawTime,IMUDataRawOrienQx,IMUDataRawOrienQy,IMUDataRawOrienQz,IMUDataRawOrienQw,IMUDataRawOrienCovElems0,IMUDataRawOrienCovElems1,IMUDataRawOrienCovElems2,IMUDataRawOrienCovElems3,IMUDataRawOrienCovElems4,IMUDataRawOrienCovElems5,IMUDataRawOrienCovElems6,IMUDataRawOrienCovElems7,IMUDataRawOrienCovElems8,IMUDataRawAngVelX,IMUDataRawAngVelY,IMUDataRawAngVelZ,IMUDataRawAngVelCovElems0,IMUDataRawAngVelCovElems1,IMUDataRawAngVelCovElems2,IMUDataRawAngVelCovElems3,IMUDataRawAngVelCovElems4,IMUDataRawAngVelCovElems5,IMUDataRawAngVelCovElems6,IMUDataRawAngVelCovElems7,IMUDataRawAngVelCovElems8,IMUDataRawLinearAccX,IMUDataRawLinearAccY,IMUDataRawLinearAccZ,IMUDataRawLinearAccCovElems0,IMUDataRawLinearAccCovElems1,IMUDataRawLinearAccCovElems2,IMUDataRawLinearAccCovElems3,IMUDataRawLinearAccCovElems4,IMUDataRawLinearAccCovElems5,IMUDataRawLinearAccCovElems6,IMUDataRawLinearAccCovElems7,IMUDataRawLinearAccCovElems8
2638,384429093229555,-0.0330628901720047,0.00558153074234724,0.8073693513870239,0.5890929698944092,0,0,0,0,0,0,0,0,0,0.009999999776482582,-0.1400000005960464,-0.07999999821186066,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.01999999955296516,1.159999966621399,0,0,0,0,0,0,0,0,0
2639,384429117329046,-0.03303457051515579,0.00574677437543869,0.8044137954711914,0.5931224822998047,0,0,0,0,0,0,0,0,0,-0.009999999776482582,-0,-0.09000000357627869,0,0,0,0,0,0,0,0,0,-0.1099999994039536,-0.03999999910593033,1.090000033378601,0,0,0,0,0,0,0,0,0
2640,384429140776641,-0.03599976003170013,0.001724649220705032,0.8044324517250061,0.5929498672485352,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.05999999865889549,0.07999999821186066,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.05999999865889549,1.120000004768372,0,0,0,0,0,0,0,0,0
2641,384429164900651,-0.03600793331861496,0.001544630154967308,0.8073871731758118,0.5889203548431396,0,0,0,0,0,0,0,0,0,-0.01999999955296516,-0.07000000029802322,0.1099999994039536,0,0,0,0,0,0,0,0,0,0.009999999776482582,-0.03999999910593033,1.120000004768372,0,0,0,0,0,0,0,0,0
2642,384429189001784,-0.03600793331861496,0.001544630154967308,0.8073871731758118,0.5889203548431396,0,0,0,0,0,0,0,0,0,0.03999999910593033,-0.01999999955296516,-0.1099999994039536,0,0,0,0,0,0,0,0,0,-0.02999999932944775,-0.07000000029802322,1.090000033378601,0,0,0,0,0,0,0,0,0
2643,384429212774229,-0.03600793331861496,0.001544630154967308,0.8073871731758118,0.5889203548431396,0,0,0,0,0,0,0,0,0,0,0.09000000357627869,-0.1299999952316284,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.07000000029802322,1.090000033378601,0,0,0,0,0,0,0,0,0
2644,384429236900461,-0.03599976003170013,0.001724649220705032,0.8044324517250061,0.5929498672485352,0,0,0,0,0,0,0,0,0,-0.05000000074505806,0.1099999994039536,-0.03999999910593033,0,0,0,0,0,0,0,0,0,-0.05999999865889549,-0.07000000029802322,1.120000004768372,0,0,0,0,0,0,0,0,0
2645,384429260675980,-0.03599976003170013,0.001724649220705032,0.8044324517250061,0.5929498672485352,0,0,0,0,0,0,0,0,0,0.009999999776482582,-0.07000000029802322,-0.07000000029802322,0,0,0,0,0,0,0,0,0,-0.01999999955296516,-0.03999999910593033,1.090000033378601,0,0,0,0,0,0,0,0,0
2646,384429285479991,-0.03599976003170013,0.001724649220705032,0.8044324517250061,0.5929498672485352,0,0,0,0,0,0,0,0,0,0.05000000074505806,-0.1299999952316284,-0.2199999988079071,0,0,0,0,0,0,0,0,0,-0.07000000029802322,-0.05999999865889549,1.070000052452087,0,0,0,0,0,0,0,0,0
2647,384429308899830,-0.0319807231426239,-0.001244934275746346,0.8044836521148682,0.5931119322776794,0,0,0,0,0,0,0,0,0,-0.09000000357627869,-0.05999999865889549,-0.1500000059604645,0,0,0,0,0,0,0,0,0,-0.07999999821186066,-0.05999999865889549,1.139999985694885,0,0,0,0,0,0,0,0,0
